id,first_name,last_name,gender,ZOMBIE,States
1,Casie,Balmer,F,true,TX
2,Graeme,Wynter,M,false,TX
3,Tremaine,Bedlington,M,false,NY
4,Rebecka,Sherreard,F,true,TX
5,Dorise,Abatelli,F,true,TX
6,Gran,Gibben,M,true,TX
7,Lyon,Kidsley,M,false,TX
8,Gabriellia,Eilles,F,false,NY
9,Orazio,Hugli,M,false,NY
10,Ciel,Blackleech,F,false,TX
11,Flemming,Veltman,M,false,NY
12,Anne-corinne,Lofting,F,false,NY
13,Corrie,Whittlesea,M,false,NY
14,Isadora,Newall,F,true,TX
15,Daven,Dodshon,M,true,NY
16,Ardyth,Gannaway,F,true,MA
17,Minetta,Cantillon,F,false,NY
18,Claretta,Darridon,F,true,TX
19,Kort,Bowton,M,false,NY
20,Nonna,Abramsky,F,false,NY
21,Tiphanie,Holligan,F,true,TX
22,Isa,Goring,F,false,NY
23,Keir,Glennie,M,false,TX
24,Duke,Gunn,M,true,TX
25,Danette,Scoone,F,true,NJ
26,Jamesy,Stackbridge,M,false,TX
27,Analiese,Kinnen,F,false,TX
28,Jaquenette,Letts,F,false,TX
29,Levey,Priscott,M,false,TX
30,Warden,Hopkynson,M,true,TX
31,Foster,Poundsford,M,false,NY
32,Ellie,Caldera,F,true,MA
33,Colin,Pennicott,M,false,TX
34,Kirsten,Dykas,F,true,NY
35,Keriann,Tankin,F,false,TX
36,Serge,Muggeridge,M,false,TX
37,Jarad,Cardiff,M,false,TX
38,Phyllis,Heatley,F,false,NY
39,Norris,Bushaway,M,false,MA
40,Maitilde,Ingrem,F,true,NY
41,Natalie,Walling,F,true,NJ
42,Rivy,Ponten,F,false,TX
43,Reade,Benediktsson,M,true,NY
44,Roderich,Yateman,M,true,TX
45,Bryan,Croal,M,true,TX
46,Alexis,Darlasson,F,false,TX
47,Delila,Simkiss,F,true,NY
48,Chryste,Currey,F,true,TX
49,Eal,Dendle,M,false,NJ
50,Minette,Redd,F,true,TX
51,Franchot,Orpin,M,true,MA
52,Krishnah,Mordey,M,false,TX
53,Tamarah,O'Kielt,F,false,TX
54,Issiah,Ettridge,M,false,TX
55,Twila,Baggiani,F,true,NY
56,Gabe,Osban,M,true,TX
57,Ryun,Schorah,M,false,MA
58,Quentin,Caro,M,false,NY
59,Kelwin,Dearnaley,M,true,TX
60,Berri,Keyte,F,true,TX
61,Nita,Reimers,F,true,NY
62,Nealson,Kibbey,M,true,TX
63,Sven,Hedaux,M,true,NY
64,Lyle,Jopling,M,false,TX
65,Thedric,Throssell,M,false,TX
66,Frederick,Wheildon,M,true,TX
67,Dynah,Crease,F,false,TX
68,Sayre,Sarjent,M,false,TX
69,Jerrylee,Habergham,F,true,NY
70,Katine,Dimbleby,F,false,TX
71,Essy,Scala,F,true,TX
72,Larissa,Connealy,F,true,TX
73,Corney,Vlasenkov,M,false,TX
74,Orazio,Jeafferson,M,true,NY
75,Cora,MacLleese,F,true,TX
76,Inigo,Merrick,M,true,NY
77,Claus,Woodroof,M,true,NY
78,Jada,Shawl,F,false,TX
79,Wyatt,Grouse,M,false,NY
80,Merilyn,Bartell,F,true,MA
81,Marcela,Broadway,F,false,TX
82,Paige,Scothern,M,true,TX
83,Sterling,Tann,M,false,NJ
84,Laurena,Chisnell,F,false,TX
85,Keith,Godball,M,false,NJ
86,Meara,Simonds,F,false,TX
87,Arin,Pietrasik,M,true,MA
88,Rodrick,Bellinger,M,true,NY
89,Camella,Obey,F,false,TX
90,Hynda,Orans,F,true,TX
91,Amalee,Colborn,F,true,TX
92,Farlee,Mahomet,M,false,TX
93,Alfie,Longstaffe,F,true,NY
94,Cesaro,Pigott,M,false,MA
95,Radcliffe,Flement,M,true,TX
96,Ruth,Bonehill,F,true,TX
97,Kala,Peachman,F,true,MA
98,Doll,Mayhow,F,false,TX
99,Allis,De Blasi,F,true,TX
100,Eugenia,Stubbin,F,false,TX
101,Eldin,Petford,M,false,TX
102,Nilson,Markwelley,M,false,NY
103,Trista,Penhaligon,F,true,TX
104,Ki,Maybury,F,false,TX
105,Raimondo,Mattisssen,M,true,NY
106,Fairfax,Eary,M,false,NY
107,Stoddard,Colly,F,true,TX
108,Saul,Maytum,M,true,TX
109,Levon,Daybell,M,true,NY
110,Rhys,Oughtright,M,false,TX
111,Gregg,Graveney,M,false,TX
112,Norma,Nolder,F,false,TX
113,Boony,Robken,M,true,TX
114,Karna,O'Sheeryne,F,true,TX
115,Merv,Skitteral,M,false,TX
116,Norbie,Dedrick,M,true,TX
117,Isahella,Danielou,F,false,MA
118,Harwilll,Ostler,M,false,NY
119,Alden,Gasnell,M,true,NY
120,Emmey,O'Nion,F,false,NY
121,Killie,Casebourne,M,false,NY
122,Noble,Estoile,M,true,NY
123,Birgit,Simeoni,F,false,TX
124,Petunia,Hartland,F,true,TX
125,Tessy,Bernhardsson,F,true,TX
126,Redford,Furlong,M,true,NY
127,Yvor,Tamlett,M,false,TX
128,Mallory,Playford,M,false,TX
129,Ky,Pendre,M,false,TX
130,Phip,Collip,M,false,NY
131,Alana,Pennock,F,true,MA
132,Kippie,Immings,F,true,NY
133,Denys,McClure,F,false,TX
134,Phaedra,Althrope,F,false,TX
135,Laurens,Bonifant,M,false,TX
136,Florian,D'Onisi,M,true,MA
137,Timmy,Jaffray,M,false,NY
138,Hillel,Causer,M,true,TX
139,Alecia,Margrie,F,true,TX
140,Rogers,Wadforth,M,false,NY
141,Gabi,Loble,F,true,NY
142,Chase,Ridde,M,false,NY
143,Winthrop,Simonutti,M,true,TX
144,Cher,Albert,F,false,TX
145,Leta,Cowgill,F,true,TX
146,Briggs,Speek,M,false,NY
147,Katina,Kennerknecht,F,true,TX
148,Barth,Scurrah,M,false,NY
149,Nanete,Vamplers,F,false,NY
150,Mischa,Bonnavant,M,false,NJ
151,Delmar,Gillbey,M,true,TX
152,Yoko,Godlonton,F,true,TX
153,Gian,Meaden,M,false,TX
154,Fifi,Featonby,F,false,MA
155,Eadie,Matiasek,F,true,NY
156,Kerby,Pendlington,M,false,TX
157,Barb,Whellams,F,false,NJ
158,Arthur,Giuron,M,true,TX
159,Charlena,Devonport,F,false,NY
160,Farris,Sheahan,M,true,NY
161,Cornie,Winterflood,M,true,TX
162,Ellissa,Blything,F,false,MA
163,Nickolai,Gladtbach,M,true,TX
164,Catherina,Elderton,F,false,NY
165,Jamie,Behn,M,false,NY
166,Alphonse,Van Haeften,M,true,TX
167,Evvie,Eke,F,false,TX
168,Winfield,Bartosinski,M,true,TX
169,Marcelia,Breyt,F,true,TX
170,Ortensia,Beeby,F,true,TX
171,Derron,Paice,M,true,MA
172,Chiarra,Scrigmour,F,false,TX
173,Sandie,Halpine,F,true,NY
174,Alric,Vicarey,M,false,TX
175,Rowan,Crayke,M,false,TX
176,Dee dee,Henrie,F,false,TX
177,Druci,Hewins,F,true,TX
178,Avery,Androlli,M,true,TX
179,Axe,Ernke,M,false,TX
180,Derwin,Straw,M,true,NY
181,Chas,Dives,M,true,TX
182,Tarrance,Deeman,M,false,TX
183,Bili,Loosely,F,false,TX
184,Irving,Barnfather,M,false,TX
185,Patrica,Simioli,F,true,TX
186,Solomon,Neller,M,false,TX
187,Arni,Moxley,M,false,TX
188,Abramo,Huet,M,false,TX
189,Elnore,McCaghan,F,false,NJ
190,Missy,Wisham,F,true,TX
191,Edie,Kruschev,F,false,TX
192,Pammy,O'Regan,F,false,NJ
193,Koral,Alster,F,false,NY
194,Paulie,Brunning,F,true,TX
